departamento,anio,uso_cabina_porc,tel_fija_unid,tel_movil_unid,tel_pub_unid,uso_inter_porc,sub_inter_fijo_unid,vab_tel_miles_2007,pbi_regional_miles,hogar_1_radio_porc,hogar_1_tv_porc,hogar_con_cable_porc,hogar_1_compu_porc,compus,id_logit
Huánuco,2011,13.056037598983023,19084.0,411903.0,2356.0,18.8,6056.0,115596.0,3955589,82.11574525425905,60.83210958954698,6.513937457698004,20.7862894778443,3103.0,Bajo
Huánuco,2012,12.462684165083983,19292.0,457671.0,2423.0,19.875242659061712,6783.0,134042.0,4380310,77.8,58.6,55.93949167108369,17.44933400637699,1910.0,Bajo
Huánuco,2013,12.555480683856235,21494.0,493410.0,2258.0,20.674190763648635,10072.0,152151.0,4642728,78.77579197875261,60.90138238778489,17.16028082992261,39.61085817996866,2493.0,Bajo
Huánuco,2014,11.478831903073985,22384.0,525548.0,2226.0,20.242556688369618,12801.0,167582.0,4799787,76.7257678585099,62.910422707621336,49.25839251954396,32.68424235829948,566.0000000000001,Bajo
Huánuco,2015,11.759196343877157,22670.0,570168.0,1905.0,23.694945226962467,15149.0,185311.0,5114983,74.89861924470712,64.21810506343324,23.18396318906122,19.15426345442418,1330.0,Bajo
Huánuco,2016,10.962536152873431,20347.0,587182.0,1724.0,26.710059988462795,16662.0,202087.0,5345445,71.20694848736211,64.2636286920723,25.04227290496551,17.99301432450125,1056.0,Bajo
Huánuco,2017,10.786808342392636,20579.0,582478.0,1603.0,30.450430326754677,17283.0,216955.0,5832171,71.9562329616055,65.08405207279233,25.1635491655516,28.73541269910393,4099.0,Bajo
Huánuco,2018,7.756831316807718,20229.0,567432.0,1492.0,33.562118404003186,19693.0,220337.0,6010056,71.7287798692552,64.0885384153417,11.32315402539651,10.86956016651256,1278.0,Bajo
Huánuco,2019,5.633469513103774,19765.0,617706.0,932.0,38.245985989918225,19734.0,236468.0,6081484,69.6636355080257,63.61420213152341,33.95167080267244,42.71672863115067,4458.0,Bajo
Huánuco,2020,2.332231325737396,20082.0,665919.0,934.0,50.82753742955677,29028.0,251403.0,5444897,70.73311025867633,63.95311265164747,10.31349857227696,13.30468318134038,2286.0,Bajo
Huánuco,2021,0.7305922010831489,22137.0,726248.0,712.0,57.36880212978532,32392.0,284204.0,5974351,64.46294096909067,56.03033301233658,11.28040264866386,14.58714856125237,4026.0,Bajo
Ica,2011,20.136751608415125,66862.0,623935.0,6991.0,37.0,27614.0,246647.0,12883432,80.58591590973491,93.8932529964318,57.74335828764541,44.22897185314758,1609.0,Alto
Ica,2012,19.74957720586835,70526.0,693262.0,7493.0,40.98872633166079,35037.0,288739.0,13067505,81.8,93.8,14.87549852268431,24.24875960038262,9255.0,Alto
Ica,2013,19.290834672307813,70184.0,723105.0,7230.0,43.890807378811225,39313.0,326014.0,14394675,84.92364781580709,94.36688699188562,6.009566038296995,10.79332699812596,1793.0,Alto
Ica,2014,15.805134441039574,67302.0,761372.0,7460.0,44.90229255362113,41064.0,340555.0,14809397,81.57118438941787,93.30330434346645,22.74324218464293,17.38554982867696,1915.0,Alto
Ica,2015,16.994229698182583,66591.0,789436.0,6731.0,48.6943896740085,45987.0,375827.0,15295581,83.2959201870126,93.795491302094,36.57442921617353,38.10453326861129,1711.0,Alto
Ica,2016,15.128293975175106,65269.0,844430.0,5364.0,53.60602576195784,49045.0,420872.0,15325191,81.30922726763121,95.14122837596089,19.86177506252092,26.07998080091192,3802.0,Alto
Ica,2017,8.074096428197143,65881.0,880095.0,5174.0,57.62399538719211,55231.0,470202.0,16206741,81.38562329665233,95.48298553638621,33.0840969757684,31.76511518230173,3593.0,Alto
Ica,2018,5.57310639433899,63135.0,958440.0,4600.0,59.6756761526642,64468.0,529318.0,16994391,78.73835102973801,95.50683279093916,28.68407800772748,33.12356069329741,5672.0,Alto
Ica,2019,4.963162537402065,51679.0,939644.0,3938.0,67.94138972696436,53478.0,567028.0,17656354,77.8994695100192,95.02727701999757,60.18879976993292,50.28710966230182,14695.0,Alto
Ica,2020,2.0375583674138533,46140.0,933282.0,3298.0,75.29704030740105,57619.0,606521.0,15621323,74.4243103828865,91.8472844597271,52.28182056378267,26.45575534250037,3058.0,Alto
Ica,2021,0.17215999633552811,46637.0,1015460.0,3176.0,80.18712243885662,75888.0,669943.0,19590684,70.30708373434992,91.1942575748969,32.60816148119902,18.19438292630329,1772.0,Alto
Junín,2011,29.312097079115894,72095.0,796493.0,10576.0,37.0,24110.0,295395.0,10009485,85.14233851776636,79.7609450080597,52.04068374469246,24.57525817131046,409.0,Alto
Junín,2012,25.754600033388193,74362.0,884993.0,12560.0,34.67357886591298,31148.0,335688.0,10718558,84.9,81.2,34.7509944099423,37.17859011247708,1776.0,Alto
Junín,2013,24.829315318353416,72618.0,945650.0,12333.0,36.08561497743769,35240.0,362122.0,11095514,86.4594532326867,82.33755157367938,28.59712037954951,21.94589336415684,1457.0,Alto
Junín,2014,25.133473955117257,71735.0,1007981.0,12601.0,36.51774449376899,39392.0,393450.0,12391582,83.3783098933674,82.79884906687388,33.54904579744535,22.35990072934875,4325.0,Alto
Junín,2015,22.791485532322586,71978.0,1061961.0,11004.0,36.32777168903353,45629.0,434544.0,14412891,83.98672286814698,81.01453724239416,6.660260521903486,20.66735843634346,3320.0,Alto
Junín,2016,19.512314730359932,72366.0,1136708.0,8870.0,37.51097835928523,50664.0,490849.0,14285221,82.37773009166455,80.494537194324,54.72966850029134,15.96359371191131,2026.0,Alto
Junín,2017,15.416807609641811,71232.0,1157128.0,8262.0,38.08188453410113,56476.0,544987.0,14954057,80.61294425297807,81.28430703245922,15.20244188622061,37.52224596357043,2554.0,Alto
Junín,2018,11.586249412177072,64865.0,1168729.0,7068.0,41.36191265515609,63786.0,575488.0,15459518,80.08335713716598,81.23287634725133,53.33814464470327,33.98035081717508,699.0,Alto
Junín,2019,8.37317419185649,53153.0,1173443.0,5930.0,41.02120264686667,54056.0,621385.0,15330366,77.14204752370388,79.52910278126471,31.14048445231934,23.11580509178798,1417.0,Alto
Junín,2020,1.2991083446355183,46940.0,1274724.0,4963.0,48.998745815475,68654.0,672787.0,13870724,78.69750240491513,78.32367163585965,25.11624209766707,20.12541707445483,1216.0,Alto
Junín,2021,1.1122700768241303,45745.0,1351911.0,4525.0,59.638199423024396,76713.0,754475.0,15966218,72.51154829486113,78.46868299449712,29.67545225310898,30.89726306558679,4489.0,Alto
La Libertad,2011,18.911115773220516,167956.0,1196696.0,13708.0,33.3,66374.0,620764.0,17378414,78.1535909697085,80.92377079057437,10.85911320404403,12.14816955047663,1389.0,Alto
La Libertad,2012,17.49734122980233,173804.0,1329663.0,15443.0,36.778624343657505,82701.0,716716.0,18712792,77.2,79.9,32.98597120907607,44.645154848503,4759.0,Alto
La Libertad,2013,16.304866755766906,168555.0,1435850.0,14763.0,37.841422400507945,96008.0,775459.0,19532083,76.88726542969168,83.83958088929904,14.16827045040849,14.26797910127605,2635.0,Alto
La Libertad,2014,14.41523170366528,161292.0,1538558.0,13171.0,38.76727401767037,102495.0,835551.0,19821258,73.06700263060189,81.72441820737555,13.69871985388538,13.34970210672747,4379.0,Alto
La Libertad,2015,12.541727237379515,152742.0,1560336.0,12539.0,41.13681546125718,108630.0,905737.0,20274733,74.55245589679083,84.56577897109189,56.87021657762053,49.29468280326093,1647.0,Alto
La Libertad,2016,9.742147404914792,152960.0,1631219.0,9640.0,47.4158750651012,115330.0,994168.0,20448345,71.96068455270542,85.62569861355972,14.36059930830048,26.9880796920536,10463.0,Alto
La Libertad,2017,6.968430486836999,152762.0,1683948.0,8877.0,49.183564708630094,124953.0,1104041.0,20797558,71.52060882271809,83.22195707868343,7.925995797850976,11.75272340910784,2323.0,Alto
La Libertad,2018,6.643056856068109,142494.0,1778280.0,7622.0,56.542704773575835,141255.0,1196505.0,21840178,70.35991515504651,84.78862485017343,22.86196062630112,16.84252225325853,2166.0,Alto
La Libertad,2019,6.458442420377199,123169.0,1784474.0,6399.0,62.220321743673914,128132.0,1290531.0,22637274,67.83139257711994,83.4168421633316,40.7923879114423,35.30499736340941,2066.0,Alto
La Libertad,2020,2.3970250627798473,113155.0,1866632.0,5594.0,70.76885124094365,143792.0,1396659.0,21239307,72.57189280683329,85.1917698137649,19.92111493957196,23.93509418155324,4188.0,Alto
